ID,Story,Description,Checklist,Comments,Labels,Due Date,Members
331,CCTC Research Project,"

2 prompts.

1. Who is coming to CC?
2. Who is CC targeting?

we need to identify overlap and any research will help them build the foundation for the upcoming marketing plan they are pitching. 


SLO
MC
",,"2017-09-07T21:17:30.566Z - 1 hrs
| 2017-09-01T20:10:41.910Z - 2 hrs
| 2017-08-21T22:29:37.080Z - 3 hrs",,2017-07-31T19:00:00.000Z,
332,CRC Talking Points Reporting Formatting,,,"2017-07-17T23:29:36.908Z - 1 hrs
| 2017-07-14T18:52:05.110Z - .5 hrs",,,
333,Follow Up with SMARI Reporting,,,,,,
334,Email Team on Final Research Location,,,,,,
335,Annual Reporting Infographs,Quarterly Infographs,,"2017-08-04T16:28:06.826Z - .5 hrs
| 2017-07-20T22:32:38.769Z - 1.5 hrs
| 2017-07-14T18:28:43.010Z - 2 hrs
| 2017-07-11T23:30:45.918Z - 1.5 hrs",,,
336,MCC Citations Brief,,,"2017-07-05T20:35:23.339Z - 1 hrs
| 2017-07-05T17:10:25.605Z - 1 hrs
| 2017-07-03T18:51:09.310Z - 1.5 hrs",,,
337,FY Scorecard,Create Scorecard Through December,,"2017-08-31T20:05:23.856Z - 2 hrs
| 2017-08-04T19:59:27.773Z - 1 hrs
| 2017-07-31T21:23:55.230Z - 1 hrs
| 2017-07-03T22:42:40.191Z - 1 hrs",,,
338,Check-in Meetings,Email out to all data inputters for scorecard reminders,,,,,
339,Monthly Update Meetings,Do we continue them?,,,,,
340,Self Evaluation to Rob,,,2017-07-14T18:52:30.807Z - 2 hrs,,2017-07-14T19:00:00.000Z,
341,Bullet Point MCCVB Cross Departmental International Notes,,,,,,
342,June Scorecard,,,,,,
343,"Campaign Economic Impact Brief to Alliah, Rob, and Jessica",,,2017-07-06T20:06:45.807Z - .75 hrs,,,
344,Jurisdictional reporting for SOCIAL POSTS,,,,,,
345,17-18 Plan Tasks,,,2017-07-12T18:23:35.183Z - 1 hrs,,,
346,CRC Talking Points,,,"2017-07-10T18:59:16.011Z - 1 hrs
| 2017-07-10T18:59:13.184Z - 1 hrs",,,
347,Facts + Figures for Annual,,,2017-07-12T18:23:55.748Z - 1.5 hrs,,,
348,How do Toll Roads Impact Tourism?,,,,,,
349,Alliah Update Fast Facts Email,,,,,,
350,Economic Impact for SMARI - Year End?,,,,,,
351,Annual Reporting,Finish City of Monterey,,2017-08-04T16:27:59.129Z - 10 hrs,,,
352,Biz Plan Situation Analysis,,,"2017-08-03T18:59:37.719Z - 5 hrs
| 2017-07-28T18:17:42.946Z - 8 hrs",,,
354,Monthly Infographs,Include Social Influencers in Infograph,,"2017-08-10T18:58:59.195Z - 1 hrs
| 2017-08-09T17:15:49.325Z - 1 hrs",,,
355,Work with Jen to reconcile our thoughts on economic impact from VIC,,,,,,
356,VPS Secure Survey Sites,,,,,2017-09-06T19:00:00.000Z,
357,Thoughts and verbiage into SmartSheet,,,,,,
358,April Survey,,,,,,
359,Carmel valley marketing request,,,2017-07-24T22:15:06.973Z - .75 hrs,,,
360,Rob data check on Goals and Year End,,,2017-07-24T21:26:04.613Z - 1 hrs,,2017-07-25T19:00:00.000Z,
361,John Turner CA opinion of Accessibility,,,2017-08-03T18:59:29.137Z - 1 hrs,,,
362,Answer to Rob BSMAAC Meeting,,,,,,
363,Goals & Metrics,,,2017-08-04T15:45:06.667Z - 2 hrs,,,
364,Weekly notes with Jeniffer,,,2017-08-04T15:34:28.226Z - 1.5 hrs,,,
365,International Visitation to MC,,,2017-08-04T22:04:38.001Z - 1.5 hrs,,,
366,Referral traffic to MC,,,,,,
367,Biz Plan to Jen horde and Justin@jrcopy.net upon completion and send to Tammy,,,,,,
368,Reporting,,,,,,
369,Massive Reporting Gantt Chart,,,,,,
370,Analytics Projects Outline Through December,Get everything ONLINE,,,,,
371,Dashboard Outline Through October,,,,,,
372,Earned Media SOP and onboard data,Column2 and newspage2 fix,,"2017-08-21T22:12:23.852Z - 6 hrs
| 2017-08-18T22:39:36.924Z - 6 hrs",,,
373,Referral Traffic to CR Project,-Fill in definitions slide,,"2017-08-09T23:27:17.325Z - 1 hrs
| 2017-08-09T15:52:51.316Z - 7 hrs",,,
374,Create Sheet for Visitor Services,,,,,,
375,Biz Plan,,,,,,
376,Ping Elaine Rosquist,,,,,,
377,Fix Budgets,,,,,,
378,Find a new place to survey visitors in Carmel,,,,,,
379,Biz Plan Heavy,"Fix page 1/2 of visitor center quotes. perhaps word cloud.

Fix titles on visitor center pictures. Input data.

",,2017-08-21T22:12:15.848Z - 5 hrs,,,
380,Reporting Audit,"What does this even look like?

matrix with rows as reports and columns as audiences",,,,2017-09-01T19:00:00.000Z,
381,July Earned Media Reporting,,,2017-09-01T17:56:44.032Z - 5 hrs,,,
382,Setup Quarterly Jurisdiction Reports and Quarterly Reporting,,"CBTS
County
Marina
Monterey
Pacific Grove
Salinas
Seaside","2017-09-13T17:56:59.352Z - 1.5 hrs
| 2017-08-31T20:04:51.894Z - 4 hrs",,,
383,MCHA - Research,,,,,,
384,Resident Sentiment Study - Revamped,,,,,,
386,Pacific Grove Marketing Summit Deck,,,2017-09-01T18:42:37.397Z - 2 hrs,,,
387,Quarterly Jurisdiction Checkpoint 2,,,,,,
388,CCTC Online Survey,,,"2017-09-27T16:51:56.794Z - 1 hrs
| 2017-09-20T16:47:52.038Z - 1.5 hrs
| 2017-09-14T19:03:33.135Z - 2 hrs
| 2017-09-12T22:34:03.029Z - 4 hrs",,,
389,Visitor Services and Membership SOP,,,2017-09-05T18:22:43.573Z - 3 hrs,,,
390,Sacramento Keith Follow up,,,,,,
391,Data out to Task Force,,,2017-09-06T21:29:47.260Z - 1 hrs,,,
392,Email out to Rob,,,2017-09-06T21:29:43.321Z - .5 hrs,,,
393,Chrissy for hits list number of members,,,,,,
394,Fy16-17 referrals out,,,,,,
395,CRC Talking Points,,,,,,
396,Infographs,,"Visitor Services
MarComm
STR
Group Sales",2017-09-12T22:13:02.166Z - 5 hrs,,,
397,Jurisdiction Reporting Changes,"-Convert All Jurisdictions to City of Monterey Format
-Create Jurisdiction Infograph
     -Attempt to link via 'publisher' style
-Create URL per jurisdiction with sections which allow for customization",,,,,
398,POV on blcsys,,,,,,
399,Fix Jurisdiction drop down for members,,,,,,
400,Pseudo steps for Visitor Services,,,,,,
401,Email Marina Chamber of Commerce,,,,,,
402,SV Ticket for dashboard,,,,,,
403,Email Krista and respond to CCTC,,,,,,
404,Create Offsite Referrals Deck,,,,,,
405,Web Report,,,,,,
406,Jurisdiction Infograph,,,,,,Robert
407,Adendums to Allyson & Maya,,,,,,
408,Declaring variables in Excel Cells,Is it possible to declare variables in Excel cells and use them as parameters for formulas in other cells?   For example I would declare var1=10 in one of the cells. In another cell I would use var...,,,,,
409,Earned Media,"Import Data


Finish Salinas and Seaside Earned Media posts",,,,,
410,KW list to member,,,,,,
411,Fix https://res.cloudinary.com/simpleview/image/upload/v1/clients/montereycounty/Monterey_FY16_17_Year_End_Report_3411eb49-f155-449f-bbb0-1a642ff297cd.pdf,,,,,,
